state,tmax,tmin,tmed,date
AC,29.05,23.46,25.35,20200101
AL,31.76,23.12,26.42,20200101
AM,30.86,23.24,26.02,20200101
AP,30.68,21.0,25.4,20200101
BA,31.07,20.76,24.87,20200101
CE,31.68,21.84,25.66,20200101
DF,26.86,19.11,22.02,20200101
ES,32.08,20.09,25.31,20200101
GO,30.86,20.55,24.51,20200101
MA,30.95,23.43,26.24,20200101
MG,32.19,19.93,25.05,20200101
MS,33.78,21.76,26.49,20200101
MT,31.23,22.27,25.6,20200101
PA,29.79,21.95,24.87,20200101
PB,29.42,21.56,24.74,20200101
PE,30.48,21.34,24.87,20200101
PI,30.51,22.15,25.64,20200101
PR,31.2,20.99,25.18,20200101
RJ,33.56,21.1,26.47,20200101
RN,31.04,23.39,26.45,20200101
RO,28.11,22.93,25.15,20200101
RR,31.95,22.4,26.4,20200101
RS,29.5,21.77,25.05,20200101
SC,30.19,19.93,23.67,20200101
SE,31.69,22.76,26.43,20200101
SP,33.87,21.21,26.54,20200101
TO,30.82,22.68,25.54,20200101
AC,31.79,22.12,25.8,20200103
AL,33.82,23.99,28.04,20200103
AM,32.41,22.77,26.66,20200103
AP,30.9,22.08,25.78,20200103
BA,30.16,21.28,24.94,20200103
CE,33.58,23.99,27.73,20200103
DF,28.25,19.17,22.65,20200103
ES,32.15,21.82,25.16,20200103
GO,29.53,20.75,24.27,20200103
MA,31.9,22.96,26.46,20200103
MG,28.79,20.11,23.5,20200103
MS,32.73,22.35,27.3,20200103
MT,30.53,22.56,25.6,20200103
PA,29.68,22.14,25.1,20200103
PB,33.9,22.94,27.41,20200103
PE,32.63,23.04,26.92,20200103
PI,29.99,22.86,25.98,20200103
PR,25.57,19.67,22.34,20200103
RJ,29.52,21.52,24.64,20200103
RN,34.68,24.67,28.83,20200103
RO,30.98,22.46,25.84,20200103
RR,32.78,21.1,26.65,20200103
RS,28.01,17.51,22.32,20200103
SC,25.85,17.7,21.05,20200103
SE,33.4,24.93,28.27,20200103
SP,27.41,20.29,23.09,20200103
TO,30.46,22.48,25.63,20200103
AC,30.53,23.26,25.93,20200104
AL,33.9,24.32,28.26,20200104
AM,32.99,22.93,27.23,20200104
AP,31.16,23.58,25.7,20200104
BA,30.05,21.62,24.87,20200104
CE,33.14,24.1,27.51,20200104
DF,26.08,19.78,21.54,20200104
ES,29.7,22.02,24.9,20200104
GO,27.71,21.47,23.58,20200104
MA,28.15,23.22,24.87,20200104
MG,27.61,20.18,22.9,20200104
MS,32.82,22.27,27.12,20200104
MT,29.95,22.66,25.2,20200104
PA,30.34,22.27,25.49,20200104
PB,33.68,23.41,27.65,20200104
PE,32.3,22.95,26.52,20200104
PI,29.54,22.28,25.26,20200104
PR,27.87,18.43,22.29,20200104
RJ,28.64,21.84,24.42,20200104
RN,34.17,25.07,28.78,20200104
RO,29.54,23.01,24.89,20200104
RR,33.9,21.09,26.96,20200104
RS,29.18,17.92,23.22,20200104
SC,25.05,17.92,20.92,20200104
SE,33.37,25.18,28.53,20200104
SP,29.14,19.26,23.21,20200104
TO,28.46,22.64,24.55,20200104
AC,31.62,22.83,27.0,20200105
AL,32.92,23.76,27.61,20200105
AM,33.39,23.1,27.59,20200105
AP,31.36,22.63,25.93,20200105
BA,29.35,20.53,24.32,20200105
CE,32.66,23.69,27.3,20200105
DF,22.81,18.29,20.32,20200105
ES,32.48,22.07,25.92,20200105
GO,27.47,20.53,23.49,20200105
MA,32.02,22.54,26.29,20200105
MG,27.71,19.82,22.95,20200105
MS,33.34,21.13,27.24,20200105
MT,29.67,22.85,25.38,20200105
PA,30.37,22.51,25.59,20200105
PB,33.11,23.34,27.29,20200105
PE,32.4,22.33,26.52,20200105
PI,31.17,22.22,26.2,20200105
PR,27.95,17.41,22.26,20200105
RJ,29.57,21.87,24.74,20200105
RN,34.07,24.85,28.57,20200105
RO,27.34,23.07,24.88,20200105
RR,33.49,21.91,27.29,20200105
RS,31.58,17.85,24.47,20200105
SC,27.2,16.5,21.49,20200105
SE,32.44,24.49,27.82,20200105
SP,28.57,19.51,22.89,20200105
TO,29.37,22.27,25.23,20200105
AC,33.52,23.05,27.01,20200106
AL,33.68,23.11,27.79,20200106
AM,34.62,23.2,27.85,20200106
AP,31.93,22.77,26.37,20200106
BA,30.88,21.52,25.33,20200106
CE,34.27,23.64,27.78,20200106
DF,26.05,18.87,21.31,20200106
ES,32.87,23.32,26.86,20200106
GO,29.13,21.01,24.0,20200106
MA,30.46,22.98,25.85,20200106
MG,29.93,20.26,23.96,20200106
MS,32.9,22.59,27.04,20200106
MT,30.79,22.7,25.5,20200106
PA,30.13,22.4,25.29,20200106
PB,33.31,23.49,27.49,20200106
PE,33.61,22.94,27.3,20200106
PI,30.97,22.66,26.08,20200106
PR,30.99,18.84,23.61,20200106
RJ,33.16,21.47,25.55,20200106
RN,34.0,25.34,28.74,20200106
RO,31.61,23.08,26.31,20200106
RR,33.19,22.14,26.86,20200106
RS,33.78,20.57,26.12,20200106
SC,30.32,17.74,22.37,20200106
SE,33.44,24.05,27.93,20200106
SP,31.5,19.23,24.09,20200106
TO,28.97,22.53,24.61,20200106
AC,33.38,22.88,27.27,20200107
AL,33.59,23.15,27.44,20200107
AM,34.45,23.32,27.86,20200107
AP,31.68,23.32,26.17,20200107
BA,32.35,21.42,25.67,20200107
CE,33.74,23.82,27.4,20200107
DF,28.12,19.75,22.76,20200107
ES,33.73,23.21,27.09,20200107
GO,29.31,21.3,24.22,20200107
MA,31.36,22.48,25.75,20200107
MG,31.53,20.52,24.79,20200107
MS,30.16,22.96,25.94,20200107
MT,31.51,23.09,25.92,20200107
PA,31.36,22.37,25.68,20200107
PB,34.73,23.24,27.79,20200107
PE,33.85,22.53,27.03,20200107
PI,31.21,22.41,25.68,20200107
PR,27.25,20.26,23.48,20200107
RJ,34.81,21.99,26.83,20200107
RN,35.17,24.35,28.88,20200107
RO,33.38,23.98,27.47,20200107
RR,33.28,21.27,26.71,20200107
RS,30.35,18.72,23.98,20200107
SC,29.09,19.48,23.52,20200107
SE,33.33,23.87,27.63,20200107
SP,31.2,21.12,25.44,20200107
TO,32.1,21.84,25.46,20200107
AC,34.46,22.55,27.08,20200108
AL,33.88,22.56,27.46,20200108
AM,32.97,23.39,27.0,20200108
AP,30.64,23.44,25.94,20200108
BA,32.63,21.54,26.36,20200108
CE,31.86,23.32,26.67,20200108
DF,27.49,19.84,22.86,20200108
ES,32.97,23.53,27.09,20200108
GO,30.4,21.04,24.59,20200108
MA,32.58,23.3,26.79,20200108
MG,31.87,21.14,25.49,20200108
MS,30.55,22.0,24.86,20200108
MT,29.93,22.38,25.07,20200108
PA,30.88,22.63,25.67,20200108
PB,32.97,23.67,27.09,20200108
PE,33.19,22.62,26.82,20200108
PI,31.96,22.65,26.13,20200108
PR,30.01,20.4,23.94,20200108
RJ,33.85,23.27,26.93,20200108
RN,32.25,24.8,27.78,20200108
RO,31.6,23.5,26.68,20200108
RR,33.59,23.1,27.21,20200108
RS,32.33,17.66,24.03,20200108
SC,28.58,19.62,22.81,20200108
SE,33.67,22.41,27.34,20200108
SP,30.5,21.42,24.72,20200108
TO,32.17,22.48,26.27,20200108
AC,32.45,22.37,26.73,20200109
AL,34.5,22.8,27.79,20200109
AM,32.51,23.27,26.66,20200109
AP,31.12,22.71,25.43,20200109
BA,32.7,20.88,26.04,20200109
CE,31.45,22.43,25.75,20200109
DF,28.47,19.1,22.68,20200109
ES,32.66,21.61,26.21,20200109
GO,29.43,21.38,24.43,20200109
MA,32.05,23.64,26.74,20200109
MG,32.11,20.65,25.23,20200109
MS,32.05,23.25,26.51,20200109
MT,30.86,22.31,25.11,20200109
PA,31.4,22.36,25.69,20200109
PB,32.19,22.03,25.89,20200109
PE,34.02,22.45,26.93,20200109
PI,32.06,22.45,26.3,20200109
PR,30.45,21.75,25.19,20200109
RJ,32.78,22.27,26.05,20200109
RN,30.81,22.83,26.19,20200109
RO,31.55,23.35,26.21,20200109
RR,32.18,23.23,26.83,20200109
RS,35.04,20.77,26.82,20200109
SC,31.81,20.37,24.47,20200109
SE,34.41,22.34,27.6,20200109
SP,30.77,21.7,25.01,20200109
TO,31.24,23.08,26.06,20200109
AC,32.72,23.28,26.56,20200110
AL,33.65,23.02,27.57,20200110
AM,32.06,23.06,26.32,20200110
AP,31.37,21.85,25.3,20200110
BA,32.53,20.31,25.69,20200110
CE,31.91,22.52,25.9,20200110
DF,30.81,17.78,22.78,20200110
ES,33.29,21.36,26.16,20200110
GO,32.34,20.65,25.08,20200110
MA,32.42,22.92,26.43,20200110
MG,32.44,20.25,25.33,20200110
MS,33.95,23.92,27.57,20200110
MT,32.97,22.12,25.94,20200110
PA,31.73,22.27,25.84,20200110
PB,32.3,22.72,26.47,20200110
PE,33.5,22.32,26.93,20200110
PI,32.35,22.06,26.07,20200110
PR,30.71,21.61,24.95,20200110
RJ,33.5,22.78,27.15,20200110
RN,32.67,23.88,27.45,20200110
RO,31.9,23.06,26.29,20200110
RR,32.07,22.72,26.43,20200110
RS,31.85,22.31,26.13,20200110
SC,30.78,21.31,24.87,20200110
SE,34.22,23.42,27.9,20200110
SP,31.65,21.48,25.25,20200110
TO,33.76,22.18,26.58,20200110
AC,31.86,23.13,26.45,20200111
AL,34.08,23.29,27.68,20200111
AM,31.28,23.11,26.08,20200111
AP,32.97,21.59,26.1,20200111
BA,33.25,20.56,26.19,20200111
CE,32.68,22.68,26.68,20200111
DF,31.11,19.31,24.41,20200111
ES,34.02,21.58,26.68,20200111
GO,32.93,21.77,26.49,20200111
MA,31.56,23.43,26.56,20200111
MG,32.73,19.9,25.63,20200111
MS,34.28,24.36,28.5,20200111
MT,33.2,22.79,26.62,20200111
PA,30.53,22.43,25.54,20200111
PB,33.65,22.37,26.95,20200111
PE,33.6,22.23,26.96,20200111
PI,32.0,22.57,26.44,20200111
PR,30.05,21.56,24.91,20200111
RJ,35.54,22.99,27.85,20200111
RN,33.91,24.41,28.25,20200111
RO,31.69,23.85,26.53,20200111
RR,32.45,21.68,26.07,20200111
RS,29.75,20.36,23.72,20200111
SC,28.06,20.28,23.25,20200111
SE,34.08,24.1,27.98,20200111
SP,31.85,22.31,26.19,20200111
TO,32.07,23.11,26.79,20200111
AC,30.95,23.17,25.99,20200112
AL,34.34,23.32,27.75,20200112
AM,30.61,23.14,25.96,20200112
AP,29.3,23.21,25.79,20200112
BA,33.76,21.06,26.62,20200112
CE,33.82,22.89,27.25,20200112
DF,31.85,17.27,24.92,20200112
ES,35.51,21.58,27.4,20200112
GO,33.33,20.56,26.15,20200112
MA,31.73,23.07,26.29,20200112
MG,33.91,19.82,26.14,20200112
MS,34.08,23.92,27.88,20200112
MT,32.43,22.37,26.15,20200112
PA,30.03,22.03,25.05,20200112
PB,33.22,21.36,26.77,20200112
PE,33.92,21.68,26.98,20200112
PI,33.76,22.07,26.45,20200112
PR,30.57,21.28,24.66,20200112
RJ,33.18,23.71,27.53,20200112
RN,33.46,22.87,27.89,20200112
RO,27.98,23.29,25.29,20200112
RR,32.45,21.53,26.14,20200112
RS,31.69,20.32,25.23,20200112
SC,29.58,19.53,23.51,20200112
SE,34.65,24.33,28.12,20200112
SP,31.49,22.42,25.99,20200112
TO,32.64,22.4,26.28,20200112
AC,29.47,23.19,25.66,20200113
AL,34.74,22.83,27.88,20200113
AM,30.24,22.78,25.58,20200113
AP,29.46,22.87,25.24,20200113
